antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,rule_length,antecedents_str,consequents_str
frozenset({'60 CAKE CASES DOLLY GIRL DESIGN'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.021883920076117985,0.0661024588111573,0.012118784115378837,0.5537757437070938,8.377536231884058,1.0,0.01067220318992059,2.092888335894996,0.9003360452776794,0.15973597359735972,0.5221914218503382,0.3685545385202136,1,1,2,60 CAKE CASES DOLLY GIRL DESIGN,PACK OF 72 RETROSPOT CAKE CASES
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.04146426961790776,0.0661024588111573,0.022685162001101707,0.5471014492753623,8.276567303469477,1.0,0.01994427182654924,2.0620457709449647,0.9172083364616227,0.2672566371681416,0.5150447123480997,0.4451416337285902,1,1,2,60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES
frozenset({'ALARM CLOCK BAKELIKE CHOCOLATE'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.021433221493314638,0.049076067905253144,0.013871500826280735,0.647196261682243,13.187614438298683,1.0,0.012819642592846495,2.6953340591824615,0.9444130890581443,0.24491600353669318,0.6289884748819164,0.4649246614533664,1,1,2,ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE GREEN
frozenset({'ALARM CLOCK BAKELIKE CHOCOLATE'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.021433221493314638,0.03921077670389103,0.011017076468526215,0.514018691588785,13.109117819075923,1.0,0.010176663206506818,1.9770085940900701,0.943949086070779,0.22199798183652875,0.49418530451039544,0.3974946586934985,1,1,2,ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE PINK
frozenset({'ALARM CLOCK BAKELIKE CHOCOLATE'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.021433221493314638,0.05263157894736842,0.014622665130952978,0.6822429906542056,12.962616822429906,1.0,0.013494600841831154,2.981424148606811,0.943068069734657,0.2459983150800337,0.6645898234683282,0.48003681407115606,1,1,2,ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE RED 
frozenset({'ALARM CLOCK BAKELIKE IVORY'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.028544243577545196,0.049076067905253144,0.016725925184035255,0.5859649122807017,11.939931972789115,1.0,0.015325085947919561,2.2967230563305323,0.9431694886426949,0.2746710526315789,0.5645970474134148,0.46339061940565696,1,1,2,ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE GREEN
frozenset({'ALARM CLOCK BAKELIKE ORANGE'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.022284541038609846,0.049076067905253144,0.013671190345034804,0.6134831460674157,12.500658105939005,1.0,0.012577552695786587,2.4602392429195485,0.9409733713667334,0.23697916666666666,0.5935354649439267,0.44602728731942215,1,1,2,ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE GREEN
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.03921077670389103,0.049076067905253144,0.02093244529019981,0.5338441890166028,10.877892459665858,1.0,0.019008134550061936,2.039927229671745,0.9451296973421112,0.3107806691449813,0.5097864348029143,0.4801874006307504,1,1,2,ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.05263157894736842,0.049076067905253144,0.03204967699934899,0.6089438629876309,12.408163265306124,1.0,0.02946672605696725,2.431681393264183,0.970486111111111,0.46010064701653486,0.5887619147927748,0.6310025437387135,1,1,2,ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE GREEN
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.049076067905253144,0.05263157894736842,0.03204967699934899,0.6530612244897959,12.408163265306122,1.0,0.02946672605696725,2.730650154798761,0.9668574569487598,0.46010064701653486,0.6337868480725622,0.6310025437387135,1,1,2,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED 
frozenset({'ALARM CLOCK BAKELIKE IVORY'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.028544243577545196,0.05263157894736842,0.018678952376183083,0.6543859649122806,12.433333333333332,1.0,0.017176623766838598,2.7411167512690353,0.9465907628803175,0.2988782051282051,0.635185185185185,0.5046430300298796,1,1,2,ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE RED 
frozenset({'ALARM CLOCK BAKELIKE ORANGE'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.022284541038609846,0.05263157894736842,0.015123441334067804,0.6786516853932584,12.894382022471909,1.0,0.013950570753088339,2.9481045270518953,0.9434716789388778,0.2529313232830821,0.6607990012484393,0.4829985353702734,1,1,2,ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE RED 
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.03921077670389103,0.05263157894736842,0.023536481546396915,0.6002554278416348,11.40485312899106,1.0,0.02147275645671844,2.3699344207163278,0.9495506475244583,0.344574780058651,0.578047396055059,0.523724288611588,1,1,2,ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED 
frozenset({'PAINTED METAL PEARS ASSORTED'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.018528719515248634,0.07286293755320747,0.012970103660674045,0.7000000000000001,9.60707903780069,1.0,0.011620046727693588,3.0904568748226424,0.9128235405596495,0.16538952745849297,0.6764232472723345,0.4390034364261169,1,1,2,PAINTED METAL PEARS ASSORTED,ASSORTED COLOUR BIRD ORNAMENT
frozenset({'BAKING SET SPACEBOY DESIGN'}),frozenset({'BAKING SET 9 PIECE RETROSPOT '}),0.023286093444839503,0.04677249737092493,0.016725925184035255,0.7182795698924731,15.35687872717644,1.0,0.015636776439607387,3.3835938070421365,0.9571713832384451,0.3136150234741784,0.7044562506531544,0.5379406414772858,1,1,2,BAKING SET SPACEBOY DESIGN,BAKING SET 9 PIECE RETROSPOT 
frozenset({'KITCHEN METAL SIGN'}),frozenset({'BATHROOM METAL SIGN'}),0.015273674195002253,0.031598978416545645,0.011017076468526215,0.7213114754098361,22.827050479332833,1.0,0.010534443967296988,3.474850724505336,0.971023420741179,0.30726256983240224,0.7122178535763273,0.5349822036320179,1,1,2,KITCHEN METAL SIGN,BATHROOM METAL SIGN
frozenset({'TOILET METAL SIGN'}),frozenset({'BATHROOM METAL SIGN'}),0.020281436226150532,0.031598978416545645,0.014622665130952978,0.7209876543209878,22.816802645223145,1.0,0.0139817924653863,3.4708178207194615,0.9759666552768154,0.39247311827957,0.7118834661875998,0.5918725910273719,1,1,2,TOILET METAL SIGN,BATHROOM METAL SIGN
frozenset({'BLUE HAPPY BIRTHDAY BUNTING'}),frozenset({'PINK HAPPY BIRTHDAY BUNTING'}),0.01953027192147829,0.020131203365216083,0.013120336521608492,0.6717948717948717,33.3708253603776,1.0,0.012727168645779243,2.9855377397466065,0.9893560985461521,0.4943396226415093,0.6650519647811005,0.661768082663605,1,1,2,BLUE HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING
frozenset({'PINK HAPPY BIRTHDAY BUNTING'}),frozenset({'BLUE HAPPY BIRTHDAY BUNTING'}),0.020131203365216083,0.01953027192147829,0.013120336521608492,0.6517412935323383,33.3708253603776,1.0,0.012727168645779243,2.8153487906254697,0.9899628483382795,0.4943396226415093,0.6448042234305769,0.661768082663605,1,1,2,PINK HAPPY BIRTHDAY BUNTING,BLUE HAPPY BIRTHDAY BUNTING
frozenset({'BLUE HARMONICA IN BOX '}),frozenset({'RED  HARMONICA IN BOX '}),0.030196805047824127,0.03310130702589013,0.015824528018428565,0.5240464344941957,15.831593419689252,1.0,0.01482497430333959,2.0314979507435136,0.9660054421359632,0.3333333333333335,0.507752395401626,0.5010549872924837,1,1,2,BLUE HARMONICA IN BOX ,RED  HARMONICA IN BOX 
frozenset({'BLUE POLKADOT BOWL'}),frozenset({'PINK POLKADOT BOWL'}),0.01612499374029746,0.016675847563723773,0.010416145024788421,0.6459627329192547,38.73642586686065,1.0,0.01014724708720922,2.777459448109482,0.9901506787100006,0.46532438478747196,0.6399587397466183,0.6352936787719397,1,1,2,BLUE POLKADOT BOWL,PINK POLKADOT BOWL
frozenset({'PINK POLKADOT BOWL'}),frozenset({'BLUE POLKADOT BOWL'}),0.016675847563723773,0.01612499374029746,0.010416145024788421,0.6246246246246245,38.73642586686065,1.0,0.01014724708720922,2.621043016675847,0.9907053567231302,0.46532438478747196,0.6184724960110515,0.6352936787719397,1,1,2,PINK POLKADOT BOWL,BLUE POLKADOT BOWL
frozenset({'BLUE POLKADOT CUP'}),frozenset({'PINK  POLKADOT CUP'}),0.01627522660123191,0.015373829435625219,0.010416145024788421,0.64,41.629185667752445,1.0,0.010165932466994931,2.735072696012152,0.9921254581551618,0.49056603773584917,0.6343790051876717,0.6587622149837133,1,1,2,BLUE POLKADOT CUP,PINK  POLKADOT CUP
frozenset({'PINK  POLKADOT CUP'}),frozenset({'BLUE POLKADOT CUP'}),0.015373829435625219,0.01627522660123191,0.010416145024788421,0.6775244299674267,41.629185667752445,1.0,0.010165932466994931,3.0505404589234524,0.9912171956057371,0.49056603773584917,0.6721892354927481,0.6587622149837133,1,1,2,PINK  POLKADOT CUP,BLUE POLKADOT CUP
frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),0.02128298863238019,0.01877910761680605,0.010716610746657319,0.5035294117647059,26.8132768627451,1.0,0.010316935212722592,1.9763927927149643,0.9836398387917415,0.3651877133105802,0.49402770355871245,0.5370980392156863,1,1,2,BLUE STRIPE CERAMIC DRAWER KNOB,BLUE SPOT CERAMIC DRAWER KNOB
frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),0.01877910761680605,0.02128298863238019,0.010716610746657319,0.5706666666666667,26.8132768627451,1.0,0.010316935212722592,2.279620368092282,0.9811297851049197,0.3651877133105802,0.5613304680038205,0.5370980392156863,1,1,2,BLUE SPOT CERAMIC DRAWER KNOB,BLUE STRIPE CERAMIC DRAWER KNOB
frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),0.01877910761680605,0.018478641894937153,0.010315989784165456,0.5493333333333332,29.72801445347786,1.0,0.00996897737940801,2.1779320076295767,0.9848564202832053,0.38289962825278806,0.5408488435374148,0.5537994579945799,1,1,2,BLUE SPOT CERAMIC DRAWER KNOB,RED SPOT CERAMIC DRAWER KNOB
frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),0.018478641894937153,0.01877910761680605,0.010315989784165456,0.5582655826558265,29.72801445347786,1.0,0.00996897737940801,2.2212914680331197,0.984554933623935,0.38289962825278806,0.5498114433017351,0.5537994579945799,1,1,2,RED SPOT CERAMIC DRAWER KNOB,BLUE SPOT CERAMIC DRAWER KNOB
frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),0.01877910761680605,0.021883920076117985,0.010466222645099905,0.5573333333333333,25.467710144927533,1.0,0.010055262154912903,2.2095995781413,0.9791216235025564,0.3466003316749585,0.5474293125810635,0.5177971014492754,1,1,2,BLUE SPOT CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB
frozenset({'WHITE SPOT BLUE CERAMIC DRAWER KNOB'}),frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),0.018278331413691222,0.01877910761680605,0.010315989784165456,0.5643835616438355,30.053800913242004,1.0,0.009972739031492102,2.2524882120746272,0.9847254770672915,0.3857677902621723,0.5560465113027331,0.5568584474885844,1,1,2,WHITE SPOT BLUE CERAMIC DRAWER KNOB,BLUE SPOT CERAMIC DRAWER KNOB
frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'WHITE SPOT BLUE CERAMIC DRAWER KNOB'}),0.01877910761680605,0.018278331413691222,0.010315989784165456,0.5493333333333332,30.053800913242004,1.0,0.009972739031492102,2.1783764835495014,0.9852280418713475,0.3857677902621723,0.5409425287356321,0.5568584474885844,1,1,2,BLUE SPOT CERAMIC DRAWER KNOB,WHITE SPOT BLUE CERAMIC DRAWER KNOB
frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),0.02128298863238019,0.021883920076117985,0.0125194050778707,0.5882352941176471,26.879795396419436,1.0,0.012053649855658764,2.375424765529428,0.9837341383544821,0.4084967320261438,0.5790226596475166,0.5801588369901736,1,1,2,BLUE STRIPE CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB
frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),0.021883920076117985,0.02128298863238019,0.0125194050778707,0.5720823798627002,26.879795396419436,1.0,0.012053649855658764,2.2871622137307477,0.984338521400778,0.4084967320261438,0.562776967022015,0.5801588369901736,1,1,2,RED STRIPE CERAMIC DRAWER KNOB,BLUE STRIPE CERAMIC DRAWER KNOB
frozenset({'CANDLEHOLDER PINK HANGING HEART'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.019930892883970153,0.11317542190395112,0.01412188892783815,0.7085427135678393,6.260570551874417,1.0,0.01186620171677237,3.0427257076054097,0.8573580609028194,0.11868686868686869,0.6713473062982767,0.41666073731489306,1,1,2,CANDLEHOLDER PINK HANGING HEART,WHITE HANGING HEART T-LIGHT HOLDER
frozenset({'CHARLOTTE BAG APPLES DESIGN'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.02919525264159447,0.04416846111472783,0.015023286093444839,0.5145797598627787,11.650389143650598,1.0,0.013733776712409919,1.9690805200357373,0.9416578974517694,0.25751072961373384,0.4921487517524927,0.42735790714227373,1,1,2,CHARLOTTE BAG APPLES DESIGN,CHARLOTTE BAG SUKI DESIGN
frozenset({'CHARLOTTE BAG VINTAGE ALPHABET '}),frozenset({'CHARLOTTE BAG APPLES DESIGN'}),0.022284541038609846,0.02919525264159447,0.011668085532575492,0.5235955056179775,17.93426869928884,1.0,0.011017482726951298,2.037774115917408,0.9657623982983857,0.2930817610062893,0.5092684747593827,0.4616262262223678,1,1,2,CHARLOTTE BAG VINTAGE ALPHABET ,CHARLOTTE BAG APPLES DESIGN
frozenset({'CHARLOTTE BAG APPLES DESIGN'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.02919525264159447,0.05178025940207321,0.01647553708247784,0.5643224699828473,10.898409480742242,1.0,0.014963799327387015,2.176425625073194,0.9355573241367114,0.2554347826086957,0.5405310484862677,0.4412521440823327,1,1,2,CHARLOTTE BAG APPLES DESIGN,RED RETROSPOT CHARLOTTE BAG
frozenset({'CHARLOTTE BAG DOLLY GIRL DESIGN'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.02078221242926536,0.04416846111472783,0.011618007912264009,0.5590361445783133,12.656907903723738,1.0,0.010700089570703989,2.1675961127726118,0.9405382265909084,0.2178403755868544,0.5386594420854162,0.4110373466655739,1,1,2,CHARLOTTE BAG DOLLY GIRL DESIGN,CHARLOTTE BAG SUKI DESIGN
