support,itemsets,length,itemsets_str
0.013470879863788874,frozenset({' SET 2 TEA TOWELS I LOVE LONDON '}),1, SET 2 TEA TOWELS I LOVE LONDON 
0.01592468325905153,frozenset({'10 COLOUR SPACEBOY PEN'}),1,10 COLOUR SPACEBOY PEN
0.012569482698182182,frozenset({'12 MESSAGE CARDS WITH ENVELOPES'}),1,12 MESSAGE CARDS WITH ENVELOPES
0.017777555210576394,frozenset({'12 PENCIL SMALL TUBE WOODLAND'}),1,12 PENCIL SMALL TUBE WOODLAND
0.018128098552756773,frozenset({'12 PENCILS SMALL TUBE RED RETROSPOT'}),1,12 PENCILS SMALL TUBE RED RETROSPOT
0.017777555210576394,frozenset({'12 PENCILS SMALL TUBE SKULL'}),1,12 PENCILS SMALL TUBE SKULL
0.01342080224347739,frozenset({'12 PENCILS TALL TUBE RED RETROSPOT'}),1,12 PENCILS TALL TUBE RED RETROSPOT
0.012819870799739596,frozenset({'12 PENCILS TALL TUBE SKULLS'}),1,12 PENCILS TALL TUBE SKULLS
0.012469327457559217,frozenset({'12 PENCILS TALL TUBE WOODLAND'}),1,12 PENCILS TALL TUBE WOODLAND
0.01307025890129701,frozenset({'15CM CHRISTMAS GLASS BALL 20 LIGHTS'}),1,15CM CHRISTMAS GLASS BALL 20 LIGHTS
0.011117231709149182,frozenset({'20 DOLLY PEGS RETROSPOT'}),1,20 DOLLY PEGS RETROSPOT
0.010115679302919525,frozenset({'3 DRAWER ANTIQUE WHITE WOOD CABINET'}),1,3 DRAWER ANTIQUE WHITE WOOD CABINET
0.015173518954379288,frozenset({'3 HEARTS HANGING DECORATION RUSTIC'}),1,3 HEARTS HANGING DECORATION RUSTIC
0.01912965095898643,frozenset({'3 HOOK PHOTO SHELF ANTIQUE WHITE'}),1,3 HOOK PHOTO SHELF ANTIQUE WHITE
0.0189293404777405,frozenset({'3 PIECE SPACEBOY COOKIE CUTTER SET'}),1,3 PIECE SPACEBOY COOKIE CUTTER SET
0.023436326305773948,frozenset({'3 STRIPEY MICE FELTCRAFT'}),1,3 STRIPEY MICE FELTCRAFT
0.010065601682608042,frozenset({'3 TIER CAKE TIN GREEN AND CREAM'}),1,3 TIER CAKE TIN GREEN AND CREAM
0.011618007912264009,frozenset({'3 TRADITIONAl BISCUIT CUTTERS  SET'}),1,3 TRADITIONAl BISCUIT CUTTERS  SET
0.01627522660123191,frozenset({'36 PENCILS TUBE RED RETROSPOT'}),1,36 PENCILS TUBE RED RETROSPOT
0.013170414141919976,frozenset({'36 PENCILS TUBE SKULLS'}),1,36 PENCILS TUBE SKULLS
0.024237568230757674,frozenset({'4 TRADITIONAL SPINNING TOPS'}),1,4 TRADITIONAL SPINNING TOPS
0.01612499374029746,"frozenset({""6 GIFT TAGS 50'S CHRISTMAS ""})",1,6 GIFT TAGS 50'S CHRISTMAS 
0.016375381841854875,frozenset({'6 GIFT TAGS VINTAGE CHRISTMAS '}),1,6 GIFT TAGS VINTAGE CHRISTMAS 
0.01001552406229656,frozenset({'6 RIBBONS ELEGANT CHRISTMAS '}),1,6 RIBBONS ELEGANT CHRISTMAS 
0.01126746457008363,frozenset({'6 RIBBONS EMPIRE  '}),1,6 RIBBONS EMPIRE  
0.047824127397466075,frozenset({'6 RIBBONS RUSTIC CHARM'}),1,6 RIBBONS RUSTIC CHARM
0.021883920076117985,frozenset({'60 CAKE CASES DOLLY GIRL DESIGN'}),1,60 CAKE CASES DOLLY GIRL DESIGN
0.030947969352496368,frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'}),1,60 CAKE CASES VINTAGE CHRISTMAS
0.04146426961790776,frozenset({'60 TEATIME FAIRY CAKE CASES'}),1,60 TEATIME FAIRY CAKE CASES
0.030797736491561922,frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),1,72 SWEETHEART FAIRY CAKE CASES
0.011317542190395113,frozenset({'ABC TREASURE BOOK BOX '}),1,ABC TREASURE BOOK BOX 
0.012369172216936251,frozenset({'ADVENT CALENDAR GINGHAM SACK'}),1,ADVENT CALENDAR GINGHAM SACK
0.017026390905904153,frozenset({'AGED GLASS SILVER T-LIGHT HOLDER'}),1,AGED GLASS SILVER T-LIGHT HOLDER
0.011317542190395113,frozenset({'AIRLINE BAG VINTAGE JET SET RED'}),1,AIRLINE BAG VINTAGE JET SET RED
0.019780660023035704,frozenset({'AIRLINE BAG VINTAGE TOKYO 78'}),1,AIRLINE BAG VINTAGE TOKYO 78
