CustomerID,Country,Recency,Frequency,Monetary,UniqueProducts,TotalQuantity,AvgOrderValue,AvgQuantityPerOrder,AvgUniqueProductsPerOrder,PurchaseFrequency,CustomerAge,Cluster
12347,Iceland,2,7,4310.0,103,2458,615.7142857142857,351.14285714285717,14.714285714285714,0.019178082191780823,367,0
12348,Finland,75,4,1797.24,22,2341,449.31,585.25,5.5,0.014184397163120567,358,0
12350,Norway,310,1,334.4,17,197,334.4,197.0,17.0,1.0,310,1
12352,Norway,36,11,1545.41,59,470,140.4918181818182,42.72727272727273,5.363636363636363,0.04230769230769231,297,0
12353,Bahrain,204,1,89.0,4,20,89.0,20.0,4.0,1.0,204,1
12354,Spain,232,1,1079.4,58,530,1079.4,530.0,58.0,1.0,232,1
12355,Bahrain,214,1,459.4,13,240,459.4,240.0,13.0,1.0,214,1
12356,Portugal,23,3,2811.43,53,1591,937.1433333333333,530.3333333333334,17.666666666666668,0.009933774834437087,326,0
12358,Austria,2,2,1168.06,13,248,584.03,124.0,6.5,0.013422818791946308,151,1
12359,Cyprus,8,6,6245.53,214,1612,1040.9216666666666,268.6666666666667,35.666666666666664,0.018575851393188854,332,0
12360,Austria,52,3,2662.06,105,1165,887.3533333333334,388.3333333333333,35.0,0.02027027027027027,201,0
12361,Belgium,287,1,189.9,10,91,189.9,91.0,10.0,1.0,287,1
12362,Belgium,3,13,5154.58,201,2212,396.50615384615384,170.15384615384616,15.461538461538462,0.04452054794520548,296,0
12363,Unspecified,110,2,552.0,23,408,276.0,204.0,11.5,0.015151515151515152,242,1
12364,Belgium,8,4,1313.1,70,1506,328.275,376.5,17.5,0.038461538461538464,112,0
12367,Denmark,4,1,168.9,11,173,168.9,173.0,11.0,1.0,4,1
12371,Switzerland,45,2,1887.96,63,591,943.98,295.5,31.5,0.14285714285714285,60,0
12372,Denmark,72,3,1298.04,34,794,432.68,264.6666666666667,11.333333333333334,0.013392857142857142,297,1
12373,Austria,311,1,364.6,14,197,364.6,197.0,14.0,1.0,311,1
12374,Austria,25,1,742.9300000000001,33,342,742.9300000000001,342.0,33.0,1.0,25,1
12375,Finland,3,3,455.42,14,177,151.80666666666667,59.0,4.666666666666667,0.031578947368421054,98,1
12377,Switzerland,315,2,1628.12,72,944,814.06,472.0,36.0,0.05128205128205128,355,0
12379,Belgium,82,3,850.29,39,406,283.43,135.33333333333334,13.0,0.03409090909090909,170,1
12380,Belgium,22,5,2720.56,77,1126,544.112,225.2,15.4,0.03048780487804878,186,0
12381,Norway,5,6,1803.96,70,783,300.66,130.5,11.666666666666666,0.05217391304347826,120,0
12383,Belgium,185,6,1839.31,84,1529,306.5516666666667,254.83333333333334,14.0,0.03592814371257485,352,0
12384,Switzerland,29,3,566.16,26,121,188.72,40.333333333333336,8.666666666666666,0.03260869565217391,122,1
12386,Australia,338,2,401.9,10,354,200.95,177.0,5.0,0.06896551724137931,367,1
12388,Australia,16,6,2780.66,57,1462,463.4433333333333,243.66666666666666,9.5,0.01929260450160772,327,0
12390,Belgium,80,1,549.84,32,353,549.84,353.0,32.0,1.0,80,1
12393,Australia,72,4,1582.6000000000001,47,816,395.65000000000003,204.0,11.75,0.015384615384615385,333,0
12394,Belgium,64,2,1272.48,26,819,636.24,409.5,13.0,0.013071895424836602,217,0
12395,Belgium,16,15,2998.28,91,2113,199.88533333333334,140.86666666666667,6.066666666666666,0.04225352112676056,371,0
12399,Belgium,119,4,1108.65,47,1178,277.1625,294.5,11.75,0.028169014084507043,262,0
12401,Belgium,303,1,84.3,5,11,84.3,11.0,5.0,1.0,303,1
12402,Belgium,323,1,225.6,11,94,225.6,94.0,11.0,1.0,323,1
12407,Belgium,50,5,1708.1200000000001,57,1416,341.624,283.2,11.4,0.02336448598130841,264,0
12408,Belgium,33,9,2842.57,81,1399,315.8411111111111,155.44444444444446,9.0,0.039647577092511016,260,0
12410,Switzerland,301,3,681.0799999999999,26,209,227.02666666666664,69.66666666666667,8.666666666666666,0.42857142857142855,309,1
12412,Denmark,75,3,1226.88,43,829,408.96000000000004,276.3333333333333,14.333333333333334,0.031914893617021274,169,1
12413,France,67,5,694.15,29,282,138.82999999999998,56.4,5.8,0.018518518518518517,337,1
12414,Austria,217,3,562.41,16,300,187.47,100.0,5.333333333333333,0.03225806451612903,310,1
12417,Belgium,3,12,3578.8,158,1539,298.23333333333335,128.25,13.166666666666666,0.03389830508474576,358,0
12418,Switzerland,113,1,668.58,34,407,668.58,407.0,34.0,1.0,113,1
12420,Cyprus,64,1,600.39,29,345,600.39,345.0,29.0,1.0,64,1
12421,Spain,16,5,806.27,33,483,161.254,96.6,6.6,0.0165016501650165,319,1
12422,Australia,96,3,803.5600000000001,39,370,267.85333333333335,123.33333333333333,13.0,0.013100436681222707,325,1
12423,Belgium,1,9,1849.11,97,1327,205.45666666666665,147.44444444444446,10.777777777777779,0.02556818181818182,354,0
12425,Portugal,78,1,777.2,36,496,777.2,496.0,36.0,1.0,78,1
12426,Germany,195,1,582.73,30,258,582.73,258.0,30.0,1.0,195,1
12427,Germany,12,5,708.37,26,236,141.674,47.2,5.2,0.013888888888888888,372,1
12429,Denmark,9,4,3750.4,82,1557,937.6,389.25,20.5,0.011235955056179775,366,0
12430,Norway,43,1,256.4,11,117,256.4,117.0,11.0,1.0,43,1
12431,Australia,36,18,6416.39,163,2868,356.4661111111111,159.33333333333334,9.055555555555555,0.05325443786982249,374,0
12432,Norway,43,5,5059.32,107,1801,1011.8639999999999,360.2,21.4,0.03875968992248062,172,0
12434,Australia,85,4,765.19,49,373,191.2975,93.25,12.25,0.014492753623188406,361,1
12436,Norway,100,1,509.01,16,211,509.01,211.0,16.0,1.0,100,1
12437,France,2,19,4896.66,119,2918,257.718947368421,153.57894736842104,6.2631578947368425,0.057750759878419454,331,0
12441,France,367,1,173.55,11,121,173.55,121.0,11.0,1.0,367,1
12442,Spain,3,1,172.06,12,182,172.06,182.0,12.0,1.0,3,1
12444,Norway,21,5,5005.46,138,1155,1001.092,231.0,27.6,0.03355704697986577,171,0
12445,Spain,22,1,133.4,4,62,133.4,62.0,4.0,1.0,22,1
12446,RSA,58,1,1002.3100000000001,58,352,1002.3100000000001,352.0,58.0,1.0,58,1
12447,Belgium,243,1,476.49,26,190,476.49,190.0,26.0,1.0,243,1
12448,Spain,44,1,449.45,22,243,449.45,243.0,22.0,1.0,44,1
12449,Belgium,22,4,4067.29,118,1553,1016.8225,388.25,29.5,0.024390243902439025,187,0
12450,Spain,156,2,197.88,7,128,98.94,64.0,3.5,0.11764705882352941,173,1
12453,Austria,134,1,707.09,43,473,707.09,473.0,43.0,1.0,134,1
12454,Spain,53,2,5.684341886080802e-14,15,0,2.842170943040401e-14,0.0,7.5,1.0,56,1
12455,Cyprus,73,6,2466.86,85,2089,411.1433333333334,348.1666666666667,14.166666666666666,0.026905829596412557,297,0
12456,Switzerland,44,4,3153.89,105,1616,788.4725,404.0,26.25,0.01904761904761905,255,0
12457,Switzerland,58,12,1917.78,53,695,159.815,57.916666666666664,4.416666666666667,0.06666666666666667,239,0
12458,Switzerland,71,2,947.4,35,506,473.7,253.0,17.5,0.009389671361502348,285,1
12461,Switzerland,94,2,826.88,35,287,413.44,143.5,17.5,0.03333333333333333,155,1
12462,Spain,2,4,1124.01,51,514,281.0025,128.5,12.75,0.013333333333333334,303,1
12463,Belgium,46,7,1303.63,66,757,186.23285714285717,108.14285714285714,9.428571428571429,0.035897435897435895,242,1
12464,Belgium,10,8,1212.05,6,112,151.50625,14.0,0.75,0.026755852842809364,309,1
12465,Belgium,8,3,733.89,46,475,244.63,158.33333333333334,15.333333333333334,0.018633540372670808,169,1
12468,Germany,143,3,724.0400000000001,36,364,241.3466666666667,121.33333333333333,12.0,0.017341040462427744,316,1
12473,Germany,29,9,2848.23,140,2363,316.47,262.55555555555554,15.555555555555555,0.05555555555555555,192,0
12475,Germany,54,1,723.38,36,535,723.38,535.0,36.0,1.0,54,1
12476,Germany,1,20,6546.58,177,2337,327.329,116.85,8.85,0.055710306406685235,361,0
12478,Greece,4,1,680.99,36,236,680.99,236.0,36.0,1.0,4,1
12479,Germany,4,3,477.3,31,351,159.1,117.0,10.333333333333334,0.42857142857142855,11,1
12480,Germany,28,4,3281.63,129,1707,820.4075,426.75,32.25,0.013029315960912053,336,0
12481,Germany,23,11,5590.86,150,3290,508.26,299.09090909090907,13.636363636363637,0.03216374269005848,366,0
12483,Sweden,17,13,2327.13,46,1097,179.01000000000002,84.38461538461539,3.5384615384615383,0.040372670807453416,339,0
12488,France,10,3,1298.66,46,529,432.8866666666667,176.33333333333334,15.333333333333334,0.046153846153846156,76,1
12489,France,336,1,334.93,15,105,334.93,105.0,15.0,1.0,336,1
12490,France,5,10,5417.93,131,3064,541.793,306.4,13.1,0.030864197530864196,330,0
12491,France,39,1,460.40000000000003,25,260,460.40000000000003,260.0,25.0,1.0,39,1
12492,Germany,63,2,263.21000000000004,19,192,131.60500000000002,96.0,9.5,0.047619047619047616,105,1
12493,France,166,3,416.79,20,206,138.93,68.66666666666667,6.666666666666667,0.0967741935483871,197,1
12494,France,10,13,1139.3500000000001,63,690,87.6423076923077,53.07692307692308,4.846153846153846,0.036619718309859155,366,0
12498,Germany,21,3,403.70000000000005,21,159,134.5666666666667,53.0,7.0,0.08333333333333333,58,1
12500,Germany,23,13,4206.27,34,2671,323.5592307692308,205.46153846153845,2.6153846153846154,0.041935483870967745,334,0
12502,Spain,96,5,3723.87,102,820,744.774,164.0,20.4,0.02336448598130841,310,0
12504,Germany,18,4,114.0,6,51,28.5,12.75,1.5,0.3333333333333333,30,1
12505,Italy,301,1,-4.5,1,-1,-4.5,-1.0,1.0,1.0,301,1
12506,France,233,1,73.5,23,23,73.5,23.0,23.0,1.0,233,1
12507,Spain,134,4,1258.06,19,894,314.515,223.5,4.75,0.024390243902439025,299,1
12508,France,26,2,398.27,57,272,199.135,136.0,28.5,1.0,29,1
12509,France,284,1,176.5,7,55,176.5,55.0,7.0,1.0,284,1
12510,Spain,143,2,982.5699999999999,29,353,491.28499999999997,176.5,14.5,0.01098901098901099,325,1
12513,France,85,2,586.79,35,456,293.395,228.0,17.5,0.07142857142857142,113,1
12514,Italy,267,1,1017.68,51,440,1017.68,440.0,51.0,1.0,267,1
12515,Italy,353,1,383.7,16,131,383.7,131.0,16.0,1.0,353,1
12516,Germany,78,2,1312.06,20,875,656.03,437.5,10.0,0.0196078431372549,181,0
12517,Germany,28,6,2464.89,232,1348,410.815,224.66666666666666,38.666666666666664,0.037267080745341616,190,0
12518,Germany,1,5,2056.89,84,1318,411.378,263.6,16.8,0.045871559633027525,110,0
12519,Germany,64,1,340.84,17,183,340.84,183.0,17.0,1.0,64,1
12520,Germany,79,6,2582.51,121,1430,430.41833333333335,238.33333333333334,20.166666666666668,0.030927835051546393,274,0
