CustomerID,Recency,Frequency,Monetary,Country,UniqueProducts,TotalQuantity,AvgTransactionValue,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12346,326,2,0.0,United Kingdom,1,0,0.0,1,2,1,121,4,Hibernating
12347,2,7,4310.0,Iceland,103,2458,615.7142857142857,4,4,4,444,12,Champions
12348,75,4,1797.24,Finland,22,2341,449.31,2,3,4,234,9,Needs Attention
12349,19,1,1757.55,Italy,73,631,1757.55,3,1,4,314,8,Others
12350,310,1,334.4,Norway,17,197,334.4,1,1,2,112,4,Hibernating
12352,36,11,1545.41,Norway,59,470,140.4918181818182,3,4,3,343,10,Loyal Customers
12353,204,1,89.0,Bahrain,4,20,89.0,1,1,1,111,3,Hibernating
12354,232,1,1079.4,Spain,58,530,1079.4,1,1,3,113,5,Hibernating
12355,214,1,459.4,Bahrain,13,240,459.4,1,1,2,112,4,Hibernating
12356,23,3,2811.43,Portugal,53,1591,937.1433333333333,3,2,4,324,9,Needs Attention
12357,33,1,6207.67,Switzerland,131,2708,6207.67,3,1,4,314,8,Others
12358,2,2,1168.06,Austria,13,248,584.03,4,2,3,423,9,Champions
12359,8,6,6245.53,Cyprus,214,1612,1040.9216666666666,4,4,4,444,12,Champions
12360,52,3,2662.06,Austria,105,1165,887.3533333333334,2,2,4,224,8,Needs Attention
12361,287,1,189.9,Belgium,10,91,189.9,1,1,1,111,3,Hibernating
12362,3,13,5154.58,Belgium,201,2212,396.50615384615384,4,4,4,444,12,Champions
12363,110,2,552.0,Unspecified,23,408,276.0,2,2,2,222,6,Needs Attention
12364,8,4,1313.1,Belgium,70,1506,328.275,4,3,3,433,10,Champions
12365,291,3,320.69,Cyprus,22,173,106.89666666666666,1,2,2,122,5,Hibernating
12367,4,1,168.9,Denmark,11,173,168.9,4,1,1,411,6,Promising
12370,51,4,3545.69,Cyprus,143,2353,886.4225,2,3,4,234,9,Needs Attention
12371,45,2,1887.96,Switzerland,63,591,943.98,3,2,4,324,9,Needs Attention
12372,72,3,1298.04,Denmark,34,794,432.68,2,2,3,223,7,Needs Attention
12373,311,1,364.6,Austria,14,197,364.6,1,1,2,112,4,Hibernating
12374,25,1,742.9300000000001,Austria,33,342,742.9300000000001,3,1,3,313,7,Others
12375,3,3,455.42,Finland,14,177,151.80666666666667,4,2,2,422,8,Potential Loyalists
12377,315,2,1628.12,Switzerland,72,944,814.06,1,2,4,124,7,Hibernating
12378,130,1,4008.62,Switzerland,219,2529,4008.62,2,1,4,214,7,Hibernating
12379,82,3,850.29,Belgium,39,406,283.43,2,2,3,223,7,Needs Attention
12380,22,5,2720.56,Belgium,77,1126,544.112,3,3,4,334,10,Loyal Customers
12381,5,6,1803.96,Norway,70,783,300.66,4,4,4,444,12,Champions
12383,185,6,1839.31,Belgium,84,1529,306.5516666666667,1,4,4,144,9,At Risk
12384,29,3,566.16,Switzerland,26,121,188.72,3,2,2,322,7,Promising
12386,338,2,401.9,Australia,10,354,200.95,1,2,2,122,5,Hibernating
12388,16,6,2780.66,Australia,57,1462,463.4433333333333,4,4,4,444,12,Champions
12390,80,1,549.84,Belgium,32,353,549.84,2,1,2,212,5,Hibernating
12391,22,1,460.89,Cyprus,92,300,460.89,3,1,2,312,6,Promising
12393,72,4,1582.6000000000001,Australia,47,816,395.65000000000003,2,3,3,233,8,Needs Attention
12394,64,2,1272.48,Belgium,26,819,636.24,2,2,3,223,7,Needs Attention
12395,16,15,2998.28,Belgium,91,2113,199.88533333333334,4,4,4,444,12,Champions
12397,36,2,2409.9,Belgium,110,1263,1204.95,3,2,4,324,9,Needs Attention
12398,46,1,1635.6599999999999,Switzerland,85,1394,1635.6599999999999,3,1,4,314,8,Others
12399,119,4,1108.65,Belgium,47,1178,277.1625,2,3,3,233,8,Needs Attention
12401,303,1,84.3,Belgium,5,11,84.3,1,1,1,111,3,Hibernating
12402,323,1,225.6,Belgium,11,94,225.6,1,1,1,111,3,Hibernating
12403,50,2,409.7,Denmark,5,95,204.85,3,2,2,322,7,Promising
12405,149,1,1710.39,Finland,54,857,1710.39,1,1,4,114,6,Hibernating
12406,22,3,3280.75,Denmark,92,1809,1093.5833333333333,3,2,4,324,9,Needs Attention
12407,50,5,1708.1200000000001,Belgium,57,1416,341.624,3,3,4,334,10,Loyal Customers
12408,33,9,2842.57,Belgium,81,1399,315.8411111111111,3,4,4,344,11,Loyal Customers
