StockCode,Description,Elasticity,R2,AvgPrice,OptimalPrice,PriceAction,PriceChange,CurrentRevenue,PotentialRevenue,RevenueImpact,RevenueChangePercent,RecommendationStrength,FormattedRecommendation
23166,MEDIUM CERAMIC TOP STORAGE JAR,-6.623815937704913,0.651053651518033,1.46848,1.3216320000000001,Decrease,-9.999999999999991,81700.92000000001,207242.12869315033,125541.20869315031,153.65947983590672,Moderate,Decrease price from $1.47 to $1.32 (-10.0%). Estimated revenue impact: $125541.21 (+153.7%). Moderate recommendation.
85123A,WHITE HANGING HEART T-LIGHT HOLDER,-5.105213268913037,0.507507997466992,3.116949227373069,2.805254304635762,Decrease,-9.999999999999993,104518.8,180906.5540240603,76387.75402406028,73.08518087086752,Moderate,Decrease price from $3.12 to $2.81 (-10.0%). Estimated revenue impact: $76387.75 (+73.1%). Moderate recommendation.
82484,WOOD BLACK BOARD ANT WHITE FINISH,-4.201835596092626,0.7558147321906021,8.439039301310043,7.595135371179039,Decrease,-10.0,36030.22,71186.47083831411,35156.25083831411,97.57434408758567,Strong,Decrease price from $8.44 to $7.60 (-10.0%). Estimated revenue impact: $35156.25 (+97.6%). Strong recommendation.
79321,CHILLI LIGHTS,-2.804697053748862,0.3835021666341568,6.739640179910046,6.065676161919042,Decrease,-9.999999999999993,54046.240000000005,83972.4191153392,29926.179115339197,55.371435858145155,Weak,Decrease price from $6.74 to $6.07 (-10.0%). Estimated revenue impact: $29926.18 (+55.4%). Weak recommendation.
22386,JUMBO BAG PINK POLKADOT,-3.434254446838223,0.7833801306965353,2.596114701130856,2.3365032310177707,Decrease,-9.999999999999991,42436.24,72017.84871388286,29581.608713882866,69.70836415734021,Strong,Decrease price from $2.60 to $2.34 (-10.0%). Estimated revenue impact: $29581.61 (+69.7%). Strong recommendation.
48185,DOORMAT FAIRY CAKE,-4.205873691402188,0.6580013965677254,10.109565217391305,9.098608695652175,Decrease,-9.999999999999998,23888.81,51259.4240560266,27370.614056026596,114.57504185443558,Moderate,Decrease price from $10.11 to $9.10 (-10.0%). Estimated revenue impact: $27370.61 (+114.6%). Moderate recommendation.
22189,CREAM HEART CARD HOLDER,-3.9366801715939492,0.8973001386071668,4.447984934086629,4.0031864406779665,Decrease,-9.999999999999998,23463.47,50251.07280965035,26787.60280965035,114.16726856535008,Strong,Decrease price from $4.45 to $4.00 (-10.0%). Estimated revenue impact: $26787.60 (+114.2%). Strong recommendation.
23284,DOORMAT KEEP CALM AND COME IN,-3.441514604065892,0.6787789143171711,8.774136054421769,7.896722448979592,Decrease,-10.000000000000002,38166.64,62312.2437349812,24145.603734981203,63.263634773669374,Moderate,Decrease price from $8.77 to $7.90 (-10.0%). Estimated revenue impact: $24145.60 (+63.3%). Moderate recommendation.
21137,BLACK RECORD COVER FRAME,-3.3789288732350173,0.671246154743404,4.211899736147757,3.7907097625329813,Decrease,-9.999999999999996,40652.13,63078.5030820774,22426.3730820774,55.16653883099705,Moderate,Decrease price from $4.21 to $3.79 (-10.0%). Estimated revenue impact: $22426.37 (+55.2%). Moderate recommendation.
21175,GIN + TONIC DIET METAL SIGN,-4.467378534152707,0.5898334480894281,2.7661735941320296,2.4895562347188265,Decrease,-10.000000000000005,27074.07,48728.92600789124,21654.85600789124,79.98374831671501,Moderate,Decrease price from $2.77 to $2.49 (-10.0%). Estimated revenue impact: $21654.86 (+80.0%). Moderate recommendation.
